action 1: (3, 4) build type 1
actionProfitValue = 0.981188, totalProfit = 0.000000 => action 2: (3, 4) upgrade
actionProfitValue = 1.471781, totalProfit = 0.981188 => action 3: (3, 4) upgrade
actionProfitValue = 1.409202, totalProfit = 2.452969 => action 4: (3, 4) upgrade
actionProfitValue = 1.349282, totalProfit = 3.862171 => action 5: (3, 4) upgrade
actionProfitValue = 1.291908, totalProfit = 5.211453 => action 6: (3, 4) upgrade
actionProfitValue = 1.236976, totalProfit = 6.503361 => action 7: (3, 4) upgrade
actionProfitValue = 1.184377, totalProfit = 7.740336 => action 8: (3, 4) upgrade
actionProfitValue = 1.134018, totalProfit = 8.924713 => action 9: (3, 4) upgrade
actionProfitValue = 1.085797, totalProfit = 10.058731 => action 10: (3, 4) upgrade
actionProfitValue = 1.039630, totalProfit = 11.144529 => action 11: (3, 4) upgrade
actionProfitValue = 0.995423, totalProfit = 12.184159 => action 12: (3, 4) upgrade
actionProfitValue = 0.953097, totalProfit = 13.179581 => action 13: (3, 4) upgrade
actionProfitValue = 0.912570, totalProfit = 14.132678 => action 14: (1, 3) build type 1
actionProfitValue = 0.905104, totalProfit = 15.045248 => action 15: (1, 3) upgrade
actionProfitValue = 1.357655, totalProfit = 15.950352 => action 16: (1, 3) upgrade
actionProfitValue = 1.299926, totalProfit = 17.308007 => action 17: (1, 3) upgrade
actionProfitValue = 1.244653, totalProfit = 18.607933 => action 18: (1, 3) upgrade
actionProfitValue = 1.191728, totalProfit = 19.852586 => action 19: (1, 3) upgrade
actionProfitValue = 1.141055, totalProfit = 21.044314 => action 20: (1, 3) upgrade
actionProfitValue = 1.092536, totalProfit = 22.185369 => action 21: (1, 3) upgrade
actionProfitValue = 1.046082, totalProfit = 23.277905 => action 22: (1, 3) upgrade
actionProfitValue = 1.001601, totalProfit = 24.323987 => action 23: (1, 3) upgrade
actionProfitValue = 0.959013, totalProfit = 25.325588 => action 24: (1, 3) upgrade
actionProfitValue = 0.918234, totalProfit = 26.284601 => action 25: (3, 3) build type 3
actionProfitValue = 0.889930, totalProfit = 27.202835 => action 26: (1, 4) build type 3
actionProfitValue = 0.888253, totalProfit = 28.092765 => action 27: (1, 3) upgrade
actionProfitValue = 0.879190, totalProfit = 28.981018 => action 28: (3, 4) upgrade
actionProfitValue = 0.873768, totalProfit = 29.860208 => action 29: (3, 5) build type 4
actionProfitValue = 0.867767, totalProfit = 30.733976 => action 30: (3, 5) upgrade
actionProfitValue = 1.041320, totalProfit = 31.601743 => action 31: (3, 5) upgrade
actionProfitValue = 0.981713, totalProfit = 32.643063 => action 32: (3, 5) upgrade
actionProfitValue = 0.925524, totalProfit = 33.624776 => action 33: (3, 5) upgrade
actionProfitValue = 0.872546, totalProfit = 34.550300 => action 34: (1, 3) upgrade
actionProfitValue = 0.841807, totalProfit = 35.422846 => action 35: (3, 4) upgrade
actionProfitValue = 0.836615, totalProfit = 36.264652 => action 36: (3, 5) upgrade
actionProfitValue = 0.822603, totalProfit = 37.101267 => action 37: (1, 3) upgrade
actionProfitValue = 0.806011, totalProfit = 37.923870 => action 38: (3, 4) upgrade
actionProfitValue = 0.801040, totalProfit = 38.729881 => action 39: (3, 2) build type 3
actionProfitValue = 0.784626, totalProfit = 39.530921 => action 40: (1, 5) build type 3
actionProfitValue = 0.784589, totalProfit = 40.315547 => action 41: (3, 5) upgrade
actionProfitValue = 0.775517, totalProfit = 41.100135 => action 42: (3, 6) build type 3
actionProfitValue = 0.773425, totalProfit = 41.875653 => action 43: (1, 3) upgrade
actionProfitValue = 0.771740, totalProfit = 42.649078 => action 44: (1, 2) build type 4
actionProfitValue = 0.768046, totalProfit = 43.420818 => action 45: (1, 2) upgrade
actionProfitValue = 0.921655, totalProfit = 44.188863 => action 46: (1, 2) upgrade
actionProfitValue = 0.868898, totalProfit = 45.110518 => action 47: (1, 2) upgrade
actionProfitValue = 0.819166, totalProfit = 45.979416 => action 48: (1, 2) upgrade
actionProfitValue = 0.772276, totalProfit = 46.798582 => action 49: (3, 4) upgrade
actionProfitValue = 0.766981, totalProfit = 47.570858 => action 50: (1, 3) upgrade
actionProfitValue = 0.738924, totalProfit = 48.337839 => action 51: (3, 4) upgrade
actionProfitValue = 0.734366, totalProfit = 49.076763 => action 52: (3, 5) upgrade
actionProfitValue = 0.731128, totalProfit = 49.811129 => action 53: (1, 2) upgrade
actionProfitValue = 0.728073, totalProfit = 50.542257 => action 54: (1, 3) upgrade
actionProfitValue = 0.707505, totalProfit = 51.270330 => action 55: (3, 4) upgrade
actionProfitValue = 0.703143, totalProfit = 51.977835 => action 56: (3, 5) upgrade
actionProfitValue = 0.689278, totalProfit = 52.680978 => action 57: (1, 2) upgrade
actionProfitValue = 0.686397, totalProfit = 53.370256 => action 58: (1, 3) upgrade
actionProfitValue = 0.677422, totalProfit = 54.056653 => action 59: (1, 6) build type 4
actionProfitValue = 0.673805, totalProfit = 54.734075 => action 60: (1, 6) upgrade
actionProfitValue = 0.808566, totalProfit = 55.407880 => action 61: (1, 6) upgrade
actionProfitValue = 0.762283, totalProfit = 56.216446 => action 62: (1, 6) upgrade
actionProfitValue = 0.718652, totalProfit = 56.978729 => action 63: (1, 6) upgrade
actionProfitValue = 0.677516, totalProfit = 57.697381 => action 64: (3, 4) upgrade
actionProfitValue = 0.673243, totalProfit = 58.374897 => action 65: (5, 4) build type 2
actionProfitValue = 0.668742, totalProfit = 59.048140 => action 66: (1, 1) build type 3
actionProfitValue = 0.661987, totalProfit = 59.716882 => action 67: (3, 1) build type 3
actionProfitValue = 0.661917, totalProfit = 60.378870 => action 68: (5, 3) build type 1
actionProfitValue = 0.657921, totalProfit = 61.040787 => action 69: (5, 3) upgrade
actionProfitValue = 0.986881, totalProfit = 61.698707 => action 70: (5, 3) upgrade
actionProfitValue = 0.944918, totalProfit = 62.685588 => action 71: (5, 3) upgrade
actionProfitValue = 0.904741, totalProfit = 63.630506 => action 72: (5, 3) upgrade
actionProfitValue = 0.866267, totalProfit = 64.535247 => action 73: (5, 3) upgrade
